model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
100 Darter (S.L. Industries),Piston,150.0,110.0,107.0,50.0,57.0,680.0,1635.0,1693.0,2150.0,1414.0,309.0,393.0,643.0,1165000.0
650 Citation III (thru SN 099),Piston,150.0,122.0,114.0,48.0,60.0,900.0,1255.0,1220.0,2200.0,1325.0,301.0,391.0,800.0,1490000.0
100 Darter (S.L. Industries),Piston,115.0,106.0,97.0,47.0,29.0,720.0,1280.0,1313.0,1675.0,1103.0,288.0,360.0,370.0,1290000.0
100 Darter (S.L. Industries),Piston,300.0,193.0,187.0,61.0,68.0,1170.0,1420.0,1340.0,3325.0,2372.0,316.0,410.0,760.0,2400000.0
100 Darter (S.L. Industries),Piston,300.0,174.0,165.0,61.0,68.0,1170.0,1420.0,1340.0,3325.0,2247.0,316.0,410.0,483.0,1820000.0
S550 Citation SII,Piston,250.0,193.0,187.0,54.0,72.0,1800.0,890.0,1100.0,3200.0,2010.0,283.0,410.0,760.0,2400000.0
Citation II 550 (thru SN 626),Piston,300.0,181.0,176.0,61.0,68.0,1210.0,1420.0,1340.0,3325.0,2185.0,316.0,410.0,550.0,2000000.0
100 Darter (S.L. Industries),Piston,300.0,166.0,163.0,61.0,60.0,1085.0,1420.0,1340.0,3325.0,2217.0,316.0,410.0,550.0,1700000.0
Citation CJ3 525B,Piston,300.0,167.0,163.0,54.0,58.0,1840.0,890.0,1050.0,3200.0,1900.0,283.0,410.0,550.0,2100000.0
100 Darter (S.L. Industries),Piston,260.0,181.0,177.0,54.0,58.0,1500.0,990.0,825.0,3000.0,1750.0,282.0,410.0,639.0,2250000.0
100 Darter (S.L. Industries),Piston,230.0,179.0,170.0,42.0,40.0,1400.0,1025.0,1150.0,2700.0,1640.0,273.0,410.0,452.0,2000000.0
Citation I 500,Piston,190.0,174.0,157.0,38.0,40.0,1250.0,1270.0,1025.0,2600.0,1575.0,276.0,410.0,435.0,2150000.0
100 Darter (S.L. Industries),Piston,150.0,147.0,130.0,38.0,40.0,1100.0,1350.0,975.0,2100.0,1520.0,254.0,410.0,591.0,1950000.0
402C Business Liner II,Jet,3700.0,455.0,417.0,56.0,6707.0,4059.0,5600.0,3300.0,21500.0,12135.0,661.0,525.0,1715.0,5100000.0
"402,-A turbocharged",Jet,3700.0,457.0,169.0,56.0,6707.0,4380.0,4540.0,3109.0,19500.0,12130.0,661.0,525.0,1715.0,5100000.0
100 Darter (S.L. Industries),Jet,8650.0,480.0,442.0,56.0,16665.0,4200.0,5400.0,3300.0,43250.0,19950.0,821.0,742.0,3391.0,4100000.0
100 Darter (S.L. Industries),Jet,7500.0,480.0,442.0,56.0,14890.0,3400.0,5700.0,3300.0,41400.0,18660.0,821.0,742.0,2991.0,4100000.0
T 310 P turbocharged,Jet,3500.0,491.0,460.0,99.0,7400.0,4340.0,4972.0,3075.0,18300.0,9838.0,584.0,474.0,2289.0,4500000.0
310 Q,Jet,3500.0,477.0,441.0,105.0,7431.0,5100.0,4080.0,3105.0,17000.0,8802.0,583.0,473.0,2289.0,4500000.0
100 Darter (S.L. Industries),Jet,3500.0,471.0,460.0,99.0,6198.0,4760.0,4972.0,3075.0,18300.0,9838.0,584.0,474.0,1818.0,4500000.0
100 Darter (S.L. Industries),Jet,3500.0,477.0,441.0,105.0,6171.0,5100.0,4080.0,3105.0,17000.0,8762.0,583.0,473.0,1818.0,4500000.0
100 Darter (S.L. Industries),Jet,2950.0,478.0,441.0,79.0,5373.0,6110.0,2880.0,2220.0,15000.0,8157.0,571.0,525.0,1546.0,4790000.0
"310,-A",Jet,2950.0,475.0,441.0,79.0,4704.0,6350.0,2630.0,2220.0,15000.0,8195.0,571.0,525.0,1450.0,4880000.0
"T 337 G-P II,H-P, Skymaster pressurized",Jet,2950.0,464.0,459.0,97.0,6098.0,6830.0,3937.0,2817.0,15000.0,7950.0,571.0,427.0,1431.0,5100000.0
100 Darter (S.L. Industries),Jet,2950.0,464.0,441.0,104.0,6098.0,6050.0,5186.0,3090.0,15000.0,7355.0,570.0,427.0,1450.0,4500000.0
T 337 E & F Skymaster turbocharged,Jet,2950.0,464.0,441.0,104.0,7464.0,6050.0,5186.0,3090.0,15000.0,7233.0,570.0,427.0,1525.0,4500000.0
